Year,Winner,Surface,Condition,Starters,PolePosition,Time,Speed
1875,Aristides,dirt,1,15,1,157.75,34.23137876
1876,Vagrant,dirt,1,11,4,158.35,34.10167351
1877,Baden-Baden,dirt,1,11,5,158,34.17721519
1878,DayStar,dirt,0,9,1,157.25,34.34022258
1879,LordMurphy,dirt,1,9,4,157,34.39490446
1880,Fonso,dirt,0,5,1,157.5,34.28571429
1881,Hindoo,dirt,1,6,2,160,33.75
1882,Apollo,dirt,0,14,8,160.25,33.69734789
1883,Leonatus,dirt,0,7,2,163,33.12883436
1884,Buchanan,dirt,0,9,8,160.25,33.69734789
1885,JoeCotton,dirt,0,10,8,157.25,34.34022258
1886,BenAli,dirt,1,10,4,156.5,34.50479233
1887,Montrose,dirt,1,7,3,159.25,33.90894819
1888,MacbethII,dirt,1,7,6,158.25,34.12322275
1889,Spokane,dirt,1,8,3,154.5,34.95145631
1890,Riley,dirt,0,6,5,165,32.72727273
1891,Kingman,dirt,0,4,4,172.25,31.34978229
1892,Azra,dirt,0,3,2,161.5,33.43653251
1893,Lookout,dirt,1,6,2,159.25,33.90894819
1894,Chant,dirt,1,5,2,161,33.54037267
1895,Halma,dirt,1,4,1,157.5,34.28571429
1896,BenBrush,dirt,0,8,4,127.75,35.22504892
1897,typoonII,dirt,0,6,1,132.5,33.96226415
1898,Plaudit,dirt,0,4,3,129,34.88372093
1899,Manuel,dirt,1,5,1,132,34.09090909
1900,Lieut.Gibson,dirt,1,7,3,126.25,35.64356436
1901,HisEminence,dirt,1,5,3,127.75,35.22504892
1902,Alan-a-Dale,dirt,1,4,4,128.75,34.95145631
1903,JudgeHimes,dirt,1,6,4,129,34.88372093
1904,Elwood,dirt,1,5,3,128.5,35.01945525
1905,Agile,dirt,0,3,1,130.75,34.416826
1906,SirHuon,dirt,1,6,4,128.8,34.9378882
1907,PinkStar,dirt,0,6,6,132.6,33.93665158
1908,StoneStreet,dirt,0,8,4,135.2,33.28402367
1909,Wintergreen,dirt,0,10,6,128.2,35.10140406
1910,Donau,dirt,1,7,7,126.4,35.60126582
1911,Meridian,dirt,1,7,5,125,36
1912,Worth,dirt,0,7,5,129.4,34.77588872
1913,Donerail,dirt,1,8,5,124.8,36.05769231
1914,OldRosebud,dirt,1,7,6,123.4,36.46677472
1915,Regret,dirt,1,16,2,125.4,35.88516746
1916,GeorgeSmith,dirt,1,9,8,124,36.29032258
1917,*OmarKhayyam,dirt,1,15,8,124.6,36.11556982
1918,Exterminator,dirt,0,8,5,130.8,34.40366972
1919,SirBarton,dirt,0,12,1,129.8,34.66872111
1920,PaulJones,dirt,0,17,2,129,34.88372093
1921,BehaveYourself,dirt,1,12,1,124.2,36.23188406
1922,Morvich,dirt,1,10,4,124.6,36.11556982
1923,Zev,dirt,1,21,10,125.4,35.88516746
1924,BlackGold,dirt,1,19,1,125.2,35.94249201
1925,FlyingEbony,dirt,0,20,6,127.6,35.26645768
1926,BubblingOver,dirt,1,13,11,123.8,36.34894992
1927,Whiskery,dirt,0,15,7,126,35.71428571
1928,ReighCount,dirt,0,22,4,130.4,34.50920245
1929,ClydeVanDusen,dirt,0,21,20,130.8,34.40366972
1930,GallantFox,dirt,0,15,7,127.6,35.26645768
1931,TwentyGrand,dirt,1,12,5,121.8,36.94581281
1932,BurgooKing,dirt,1,20,13,125.2,35.94249201
1933,BrokersTip,dirt,0,13,11,126.8,35.48895899
1934,Cavalcade,dirt,1,13,8,124,36.29032258
1935,Omaha,dirt,0,18,10,125,36
1936,BoldVenture,dirt,1,14,5,123.6,36.40776699
1937,WarAdmiral,dirt,1,20,1,123.2,36.52597403
1938,Lawrin,dirt,1,10,1,124.8,36.05769231
1939,Johnstown,dirt,1,8,5,123.4,36.46677472
1940,Gallahadion,dirt,1,8,1,125,36
1941,Whirlaway,dirt,1,11,4,121.4,37.0675453
1942,ShutOut,dirt,1,15,3,124.4,36.17363344
1943,CountFleet,dirt,1,10,5,124,36.29032258
1944,Pensive,dirt,0,16,4,124.2,36.23188406
1945,HoopJr.,dirt,0,16,12,127,35.43307087
1946,Assault,dirt,0,17,2,126.6,35.5450237
1947,JetPilot,dirt,0,13,13,126.8,35.48895899
1948,Citation,dirt,0,6,1,125.4,35.88516746
1949,Ponder,dirt,1,14,2,124.2,36.23188406
1950,Middleground,dirt,1,14,14,121.6,37.00657895
1951,CountTurf,dirt,1,20,9,122.6,36.70473083
1952,HillGail,dirt,1,16,1,121.6,37.00657895
1953,DarkStar,dirt,1,11,10,122,36.8852459
1954,Determine,dirt,1,17,7,123,36.58536585
1955,Swaps,dirt,1,10,8,121.8,36.94581281
1956,Needles,dirt,1,17,1,123.4,36.46677472
1957,IronLiege,dirt,1,9,6,124.2,36.23188406
1958,TimTam,dirt,0,14,2,125,36
1959,TomyLee,dirt,1,17,9,122.2,36.82487725
1960,VenetianWay,dirt,0,13,9,122.4,36.76470588
1961,CarryBack,dirt,0,15,14,124,36.29032258
1962,Decidedly,dirt,1,15,4,120.4,37.37541528
1963,Chateaugay,dirt,1,9,1,121.8,36.94581281
1964,NorthernDancer,dirt,1,12,7,120,37.5
1965,LuckyDebonair,dirt,1,11,8,121.2,37.12871287
1966,KauaiKing,dirt,1,15,12,122,36.8852459
1967,ProudClarion,dirt,1,14,7,120.6,37.31343284
1968,ForwardPass**,dirt,1,14,12,122.2,36.82487725
1969,MajesticPrince,dirt,1,8,8,121.8,36.94581281
1970,DustCommander,dirt,0,17,2,123.4,36.46677472
1971,CanoneroII,dirt,1,20,12,123.2,36.52597403
1972,RivaRidge,dirt,1,16,9,121.8,36.94581281
1973,Secretariat,dirt,1,13,10,119.4,37.68844221
1974,Cannonade,dirt,1,23,2,124,36.29032258
1975,FoolishPleasure,dirt,1,15,3,122,36.8852459
1976,BoldForbes,dirt,1,9,2,121.6,37.00657895
1977,SeattleSlew,dirt,1,15,4,122.2,36.82487725
1978,Affirmed,dirt,1,11,2,121.2,37.12871287
1979,SpectacularBid,dirt,1,10,3,122.4,36.76470588
1980,GenuineRisk,dirt,1,13,10,122,36.8852459
1981,PleasantColony,dirt,1,21,7,122,36.8852459
1982,GatoDelSol,dirt,1,19,18,122.4,36.76470588
1983,Sunny?Halo,dirt,1,20,10,122.2,36.82487725
1984,Swale,dirt,1,20,15,122.4,36.76470588
1985,SpendaBuck,dirt,1,13,10,120.2,37.43760399
1986,Ferdinand,dirt,1,16,1,122.8,36.64495114
1987,Alysheba,dirt,1,17,3,123.4,36.46677472
1988,WinningColors,dirt,1,17,11,122.2,36.82487725
1989,SundaySilence,dirt,0,15,10,125,36
1990,Unbridled,dirt,0,15,8,122,36.8852459
1991,StriketheGold,dirt,1,16,5,123,36.58536585
1992,LilE.Tee,dirt,1,18,10,123,36.58536585
1993,SeaHero,dirt,1,19,6,122.4,36.76470588
1994,GoforGin,dirt,0,14,8,123.6,36.40776699
1995,ThunderGulch,dirt,1,19,16,121.2,37.12871287
1996,Grindstone,dirt,1,19,15,121,37.19008264
1997,SilverCharm,dirt,1,13,5,122.2,36.82487725
1998,RealQuiet,dirt,1,15,3,123.2,36.52597403
1999,Charismatic,dirt,1,19,16,123.2,36.52597403
2000,FusaichiPegasus,dirt,1,19,15,121,37.19008264
2001,Monarchos,dirt,1,17,16,119.97,37.50937734
2002,WarEmblem,dirt,1,18,5,121.03,37.18086425
2003,FunnyCide,dirt,1,16,5,121.32,37.09198813
2004,SmartyJones,dirt,0,18,13,124.1,36.26107977
2005,Giacomo,dirt,1,20,10,122.45,36.74969375
2006,Barbado,dirt,1,20,8,121.36,37.07976269
2007,StreetSense,dirt,1,20,7,122.17,36.83391995
2008,BigBrown,dirt,1,20,20,121.82,36.93974717
2009,MindThatBird,dirt,0,19,8,122.66,36.68677646
2010,SuperSaver,dirt,0,20,4,124.45,36.15910004
2011,AnimalKingdom,dirt,1,20,16,122.04,36.87315634
2012,I'llHaveAnother,dirt,1,20,19,121.83,36.93671509
2013,Orb,dirt,0,19,16,122.89,36.61811376
2014,CaliforniaChrome,dirt,1,19,5,123.66,36.39010189
2015,AmericanPharoh,dirt,1,18,18,123.02,36.57941798
2016,Nyquist,dirt,1,20,13,121.31,37.09504575
2017,AlwaysDreaming,dirt,0,20,5,123.98,36.2961768
2018,Justify,dirt,0,20,7,124.2,36.2318841
2019,CountryHouse,dirt,0,19,20,123.93,36.3108206
